"","id","company","industry","ceo2015","ceo2016","ceo_comp","median_comp","ratio","numberOfRatings","ceoratings","overall_2014","overall","culturevalues","wlb","careerops","comp","srleadership","ceopctApprove","rectofriend","profits","size","ceo.match"
"358",1878,"Sigma-Aldrich","Research & Development","Rakesh Sachdev","Rakesh Sachdev",5630524,66000,85,307,127,3,3.2,3.4,3.5,3,3,2.9,41,64,500,9800,"match"
"359",2458,"Simon Property Group","Real Estate","David Simon","David Simon",14739246,37660,391,273,110,2.9,2.8,2.5,2.7,2.7,2.8,2.4,51,43,1828,3150,"match"
"361",604,"Snap-on","Consumer Products Manufacturing","Nicholas T. Pinchuk","Nick Pinchuk",9540993,72194,132,145,72,3.3,3.2,3.6,2.7,3,3.5,3.1,97,61,479,11500,"match"
"362",607,"Southern Company","Utilities","Thomas A. Fanning","Thomas A. Fanning",11515993,81536,141,288,142,3.6,3.8,3.8,3.7,3.3,3.9,3.2,90,72,496,26703,"match"
"363",611,"Southwest Airlines","Airlines","Gary C. Kelly","Gary C. Kelly",5002785,52888,95,1105,766,4.1,4.1,4.3,3.9,3.9,4.1,3.6,84,84,2181,50911,"match"
"364",614,"Southwestern Energy","Oil & Gas Services","Steven L. Mueller","Steven L. Mueller",11453881,94986,121,118,49,3.4,3.9,3.8,3.8,3.3,4.2,2.8,43,80,-4556,2597,"match"
"366",350350,"Stanley Black & Decker","Industrial Manufacturing","John F. Lundgren","John F. Lundgren",13137482,69714,188,479,184,3.2,3.3,3.1,3.2,3.2,3.2,2.8,72,61,884,51250,"match"
"368",2202,"Starbucks","Fast-Food & Quick-Service Restaurants","Howard D. Schultz","Howard D. Schultz",21466454,32080,669,11915,6844,3.8,3.8,4,3.4,3.4,3.8,3.2,88,77,2757,238000,"match"
"370",1911,"State Street","Investment Banking & Asset Management","Joseph L. Hooley","Joseph L. Hooley",18842196,50921,370,2662,868,2.9,3,2.9,3.3,3,2.7,2.8,67,54,1980,32527,"match"
"371",6009,"Stericycle","Building & Personnel Services","Charles A. Alutto","Charles A. Alutto",3635560,46967,77,383,145,2.8,2.7,2.8,2.9,2.8,2.9,2.5,58,39,267,25472,"match"
"372",1918,"Stryker","Health Care Products Manufacturing","Kevin A. Lobo","Kevin A. Lobo",9120147,79045,115,1178,498,3.9,3.9,4,3.5,3.7,3.7,3.6,90,76,1439,27000,"match"
"373",631,"SunTrust","Banks & Credit Unions","William Henry Rogers, Jr.","William H. (Bill) Rogers Jr.",9190668,44562,206,1663,628,2.8,3,3,3.1,2.9,3.1,2.5,72,52,1933,24043,"match"
"375",634,"Sysco","Wholesale","William J. DeLaney, III","Bill DeLaney",7815394,60000,130,781,291,3.1,3.2,3.1,2.8,3.1,3.5,2.8,69,54,687,51700,"match"
"377",194,"Target","Department, Clothing, & Shoe Stores","Brian C. Cornell","Brian Cornell",28164024,30000,939,20180,3702,3.2,3.4,3.5,3.1,3.1,3.1,2.9,75,62,3363,341000,"match"
"378",18055,"TE Connectivity","Electrical & Electronic Manufacturing","Thomas J. Lynch","Tom Lynch",11616982,84792,137,752,404,3.3,3.3,3.3,3.4,3.1,3.5,2.8,81,61,2420,72000,"match"
"379",466,"Tenet Healthcare","Health Care Services & Hospitals","Trevor Fetter","Trevor Fetter",17950107,69714,257,309,114,3,2.9,2.7,2.8,2.9,3.2,2.4,67,48,-140,103665,"match"
"381",648,"Tesoro Corporation","Oil & Gas Exploration & Production","Gregory J. Goff","Gregory J. Goff",20855549,79015,264,138,69,3.5,3.6,3.6,3.3,3.6,4.1,3.4,99,74,1540,6000,"match"
"382",651,"Texas Instruments","Electrical & Electronic Manufacturing","Richard K. Templeton","Rich Templeton",15043694,106878,141,1868,1090,3.8,4,4,3.7,3.7,4,3.5,92,87,2986,29977,"match"
"383",654,"Textron","Aerospace & Defense","Scott C. Donnelly","Scott C. Donnelly",13590693,76537,178,217,90,3.3,3.6,3.4,3.4,3.4,3.5,3.3,72,69,697,35000,"match"
"384",4314,"The Hartford","Insurance Carriers","Christopher Swift","Christopher Swift",5392784,61985,87,1187,258,3.3,3.3,3.5,3.3,3.1,3.5,3,79,56,1682,17400,"match"
"385",326,"The Hershey Company","Food & Beverage Manufacturing","John P. Bilbrey","John P. (J.P.) Bilbrey",17777401,55092,323,462,204,3.7,3.4,3.7,3.2,3.1,3.8,3,74,66,513,19060,"match"
"387",362,"The J. M. Smucker Company","Food & Beverage Manufacturing","Richard K. Smucker","Mark T. Smucker",4886995,69428,70,214,16,3.8,3.7,3.9,3.9,3.4,3.6,3.4,83,70,689,6910,"match"
"388",658,"Thermo Fisher Scientific","Biotech & Pharmaceuticals","Marc N. Casper","Marc N. Casper",17446957,79898,218,1394,540,3.2,3.1,3.1,3,3,3.1,2.7,75,58,1975,52000,"match"
"390",12777,"Time Warner","TV Broadcast & Cable Networks","Jeffrey L. Bewkes","Jeff Bewkes",32903139,87916,374,190,79,3.6,3.2,3,3.2,2.7,3.6,2.5,82,56,3833,24800,"match"
"391",13229,"Time Warner Cable","Cable, Internet & Telephone Providers","Robert D. Marcus","Robert D. Marcus",34615597,55006,629,3170,830,3.3,3.4,3.3,3.2,3.3,3.8,2.9,54,66,1844,56600,"match"
"393",2602,"Tractor Supply","Home Centers & Hardware Stores","Gregory A. Sandfort","Greg Sandfort",4695342,36000,130,669,246,3.1,3.1,3.5,2.8,3.1,2.9,2.7,68,55,410,12000,"match"
"396",15276,"TripAdvisor","Internet","Stephen Kaufer","Stephen Kaufer",1207960,102100,12,372,255,3.3,3.5,3.5,3.7,3,3.8,2.9,78,66,198,3108,"match"
"398",681,"Tyco","Industrial Manufacturing","George R. Oliver","George R. Oliver",8998307,77724,116,778,193,2.7,2.7,2.6,2.9,2.5,3,2.2,47,40,NA,NA,"match"
"399",1975,"Tyson Foods","Food & Beverage Manufacturing","Donnie Smith","Donnie Smith",12173164,50145,243,489,191,3.5,3.4,3.4,3.1,3.4,3.7,3.1,89,65,1220,113000,"match"
"400",8937,"U.S. Bank","","Richard K. Davis","Richard K. Davis",19373076,43525,445,3282,1935,3.3,3.4,3.5,3.4,3.2,2.9,3.2,91,65,5879,65433,"match"
"401",15422,"Under Armour","Consumer Products Manufacturing","Kevin A. Plank","Kevin A. Plank",3556190,36130,98,558,324,3.6,3.8,4.1,3.2,3.4,3.5,3.2,97,77,233,5800,"match"
"403",7395,"United Rentals","Commercial Equipment Rental","Michael J. Kneeland","Michael J. Kneeland",8402819,61105,138,355,235,3.5,3.6,3.4,3.4,3.5,3.8,3.2,88,79,585,12700,"match"
"405",1991,"UnitedHealth Group","Insurance Carriers","Stephen J. Hemsley","Steve Hemsley",14856321,67000,222,5322,1792,2.9,3.1,3.2,3.2,3.1,3,2.7,73,56,5813,200000,"match"
"406",2001,"Universal Health Services","Health Care Services & Hospitals","Alan B. Miller","Alan B. Miller",18425575,50865,362,278,110,2.9,2.9,2.7,2.8,2.8,3,2.5,52,44,681,72600,"match"
"409",2372,"Urban Outfitters","Department, Clothing, & Shoe Stores","Richard A. Hayne","Richard A. Hayne",68487,19898,3.4,1460,462,3.3,3.3,3.5,3.1,3,2.9,2.8,53,61,224,9360,"match"
"410",704,"Valero Energy","Energy","Joseph W. Gorder","Joe Gorder",16056949,77158,208,240,54,3.7,4.1,4.2,3.8,3.6,4.2,3.8,93,85,3990,10103,"match"
"411",9111,"Varian Medical Systems","Health Care Products Manufacturing","Dow R. Wilson","Dow R. Wilson",6443998,94427,68,296,146,3.5,3.5,3.6,3.6,2.9,3.5,3.1,88,68,411,7300,"match"
"412",7492,"Verisign","IT Services","D. James Bidzos","D. James Bidzos",7652865,132475,58,286,94,3.9,3.8,3.5,3.9,3.3,4.3,3,81,73,375,1019,"match"
"413",89,"Verizon","Enterprise Software & Network Solutions","Lowell C. McAdam","Lowell McAdam",18306509,88062,208,6009,2211,3.3,3.4,3.2,3.1,3.1,4,2.8,65,63,17879,173300,"match"
"414",2080,"Vertex Pharmaceuticals","Biotech & Pharmaceuticals","Jeffrey M. Leiden","Jeffrey Leiden, M.D., Ph.D",36635468,123840,296,201,81,3.7,3.4,3.6,3.3,3.2,4.3,3.1,57,61,-556,1950,"match"
"415",703,"VF","Consumer Products Manufacturing","Eric C. Wiseman","Eric C. Wiseman",17832902,61128,292,187,78,3.6,3.6,3.5,3.3,3.1,3.6,3.2,87,75,1232,64000,"match"
"416",40260,"Viacom","Motion Picture Production & Distribution","Philippe P. Dauman","Philippe P. Dauman",44334858,82094,540,664,271,3.6,3.6,3.7,3.7,3.2,3.2,3.1,47,62,1922,9200,"match"
"417",3035,"Visa Inc.","IT Services","Charles W. Scharf","Charles Scharf",7692113,154171,50,1524,14,3,2.8,2.8,3.1,2.7,3.3,2.4,38,45,6328,11300,"match"
"420",715,"Walmart","General Merchandise & Superstores","C. Douglas McMillon","Doug McMillon",25592938,22591,1133,22182,5519,3,3.2,3,2.8,3.3,3.1,2.7,65,56,14694,2300000,"match"
"421",717,"Walt Disney Co.","Motion Picture Production & Distribution","Robert A. Iger","Bob Iger",46497018,79211,587,2123,1124,3.8,3.8,4.1,3.4,3.4,3.5,3.3,88,77,8382,185000,"match"
"422",2094,"Waste Management","Utilities","David P. Steiner","David P. Steiner",10770856,60613,178,976,481,2.9,3.1,2.9,2.9,2.9,3.5,2.5,64,55,753,40600,"match"
"425",1067,"Western Digital","Computer Hardware & Software","Stephen D. Milligan","Stephen D. Milligan",11290562,107750,105,651,218,3.3,2.9,2.7,3,2.6,2.9,2.5,48,38,1465,76449,"match"
"426",14655,"Western Union","Financial Transaction Processing","Hikmet Ersek","Hikmet Ersek",8241800,102595,80,540,247,3.1,3.4,3.3,3.4,3.1,3.5,2.9,79,63,838,10000,"match"
"427",730,"Weyerhaeuser","Wood Product Manufacturing","Doyle R. Simons","Doyle Simons",8144434,82674,99,292,79,3.2,3.3,3.3,3.3,2.9,3.1,2.7,40,52,506,12600,"match"
"428",732,"Whirlpool","Consumer Products Manufacturing","Jeff M. Fettig","Jeff M. Fettig",17544567,86000,204,970,451,3.6,3.5,3.6,3.4,3.6,3.3,3,81,70,783,97000,"match"
"430",736,"Williams","Oil & Gas Services","Alan S. Armstrong","Alan S. Armstrong",11604615,85507,136,251,114,3.9,3.7,3.6,4,3.1,4,3,70,68,-571,6578,"match"
"431",40166,"Wyndham Worldwide","Hotels, Motels, & Resorts","Stephen P. Holmes","Stephen P. Holmes",14111891,58000,243,548,243,3.4,3.5,3.6,3.3,3.4,3.5,3.2,88,66,612,37700,"match"
"432",15096,"Wynn Resorts","Gambling","Stephen A. Wynn","Stephen A. Wynn",25322854,50961,497,177,99,3.5,3.9,3.9,3.3,3.6,3.8,3.2,80,79,195,20800,"match"
"433",487,"Xcel Energy","Utilities","Ben Fowke","Benjamin G.S. Fowke III",12870477,78760,163,259,108,3.2,3.3,3.1,3.4,3.1,3.5,2.9,73,62,984,11601,"match"
"434",747,"Xerox","Computer Hardware & Software","Ursula M. Burns","Ursula M. Burns",22205362,69307,320,4881,2166,2.5,2.6,2.5,2.8,2.4,2.5,2.3,37,36,474,135300,"match"
"435",2063,"Xilinx","Electrical & Electronic Manufacturing","Moshe N. Gavrielov","Moshe Gavrielov",6471480,141448,46,539,360,3.4,3.7,3.4,3.7,3.3,3.6,3.2,76,75,551,3458,"match"
"436",5891,"XL Group","Insurance Carriers","Michael S. McGavick","Michael McGavick",11734396,102013,115,228,105,3.6,3.4,3.3,3.6,3,3.8,3,88,66,1207,7200,"match"
"437",494852,"Xylem","Utilities","Patrick K. Decker","Patrick K. Decker",8227869,74974,110,134,38,2.9,3,3,3,2.8,3.1,2.5,72,48,340,12700,"match"
"438",5807,"Yahoo","Internet","Marissa A. Mayer","Marissa Mayer",42083508,137011,307,2918,1094,3.5,3.6,3.7,3.9,3.3,3.9,2.9,66,61,-4359,10400,"match"
"440",2053,"Zions Bancorporation","Banks & Credit Unions","Harris H. Simmons","Harris H. Simmons",2500822,68400,37,184,106,3.5,3.5,3.5,3.9,3.5,3,3.4,83,71,309,9937,"match"
"441",680848,"Zoetis","Biotech & Pharmaceuticals","Juan Ramn Alaix","Juan Ramon Alaix",7636726,114000,67,197,65,3.1,3.1,2.9,3.4,2.7,3.6,2.7,68,52,339,9000,"match"
